feature,importance
longitude,0.37804093178179154
dist_to_center,0.31833859251113944
latitude,0.16542943360525075
neighbourhood_tier_encoded,0.049003481378477154
host_age_years,0.033077523312267154
accommodates,0.013047253608154848
bathrooms,0.012695811922224132
has_washer,0.012680584668216399
bedrooms,0.00917935597529244
beds,0.006452921431834269
host_type_encoded,0.001508193861308766
has_dryer,0.0005459159440434177
